"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"INHD","Inno Holdings Inc","Basic Materials","Steel","Hong Kong",1.99,,0.15,10.95%,137887552
2,"CNEY","CN Energy Group Inc","Basic Materials","Specialty Chemicals","China",2.96,,0.95,-1.77%,267656
3,"ITP","IT Tech Packaging Inc","Basic Materials","Paper & Paper Products","China",4.15,,0.24,1.28%,154959
4,"CHNR","China Natural Resources Inc","Basic Materials","Other Industrial Metals & Mining","Hong Kong",5.03,,4.07,10.43%,31622
5,"CAPS","Capstone Holding Corp","Basic Materials","Building Materials","USA",7.21,,0.87,0.85%,209009
6,"NITO","N2OFF Inc","Basic Materials","Agricultural Inputs","Israel",7.79,,2.87,-3.69%,23679
7,"BSLK","Bolt Projects Holdings Inc","Basic Materials","Specialty Chemicals","USA",9.30,,2.13,-4.91%,211691
8,"BON","Bon Natural Life Ltd","Basic Materials","Specialty Chemicals","China",12.51,0.58,1.79,-0.56%,21863
9,"YMAT","J-Star Holding Co Ltd","Basic Materials","Specialty Chemicals","Taiwan",13.83,12.39,0.80,6.63%,167162
10,"SEED","Origin Agritech Ltd","Basic Materials","Agricultural Inputs","China",16.94,,1.39,-1.06%,8814
11,"HUDI","Huadi International Group Co Ltd","Basic Materials","Steel","China",17.85,,1.25,0.00%,17352
12,"CAPT","Captivision Inc","Basic Materials","Building Materials","United Kingdom",20.30,,0.63,-17.61%,660185
13,"TSE","Trinseo PLC","Basic Materials","Specialty Chemicals","USA",23.98,,0.67,-4.45%,1085239
14,"FMST","Foremost Clean Energy Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",42.31,,2.93,-4.25%,146139
15,"LOOP","Loop Industries Inc","Basic Materials","Specialty Chemicals","Canada",52.37,,1.09,0.00%,32773
16,"LITM","Snow Lake Resources Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",52.96,,3.42,-4.47%,242724
17,"XPL","Solitario Resources Corp","Basic Materials","Other Industrial Metals & Mining","USA",58.18,,0.64,0.91%,279118
18,"ORGN","Origin Materials Inc","Basic Materials","Chemicals","USA",67.37,,0.45,-8.12%,786128
19,"NAMM","Namib Minerals","Basic Materials","Gold","Cayman Islands",69.24,,1.29,-1.53%,194708
20,"LGO","Largo Inc","Basic Materials","Other Industrial Metals & Mining","Canada",85.81,,1.03,-0.96%,221808
21,"PZG","Paramount Gold Nevada Corp","Basic Materials","Gold","USA",90.90,,1.16,4.50%,1653520
22,"BIOX","Bioceres Crop Solutions Corp","Basic Materials","Agricultural Inputs","Argentina",94.84,,1.50,-5.06%,255974
23,"ELBM","Electra Battery Materials Corp","Basic Materials","Other Industrial Metals & Mining","Canada",95.52,,1.02,-1.92%,925545
24,"AMTX","Aemetis Inc","Basic Materials","Specialty Chemicals","USA",99.66,,1.52,-6.75%,935653
25,"ATLX","Atlas Lithium Corporation","Basic Materials","Other Industrial Metals & Mining","Brazil",108.19,,4.59,-9.47%,1068051
26,"FURY","Fury Gold Mines Ltd","Basic Materials","Other Industrial Metals & Mining","Canada",114.50,,0.62,4.24%,673221
27,"OMEX","Odyssey Marine Exploration, Inc","Basic Materials","Other Industrial Metals & Mining","USA",115.94,,2.08,-2.35%,621861
28,"GRO","Brazil Potash Corp","Basic Materials","Other Industrial Metals & Mining","Canada",118.87,,2.23,-3.04%,261595
29,"GORO","Gold Resource Corp","Basic Materials","Gold","USA",121.42,,0.75,-2.63%,1000267
30,"WWR","Westwater Resources Inc","Basic Materials","Other Industrial Metals & Mining","USA",122.71,,1.04,0.97%,4859766
31,"MERC","Mercer International Inc","Basic Materials","Paper & Paper Products","Canada",123.92,,1.85,-1.07%,557885
32,"LODE","Comstock Inc","Basic Materials","Other Precious Metals & Mining","USA",173.79,,3.39,-9.60%,715977
33,"ALTO","Alto Ingredients Inc","Basic Materials","Specialty Chemicals","USA",194.13,,2.51,-10.04%,1617347
34,"TRX","TRX Gold Corp","Basic Materials","Gold","Canada",230.39,311.08,0.81,6.42%,3260195
35,"USAU","U.S. Gold Corp","Basic Materials","Gold","USA",239.77,,16.67,-3.08%,173878
36,"VGZ","Vista Gold Corp","Basic Materials","Gold","USA",243.58,,1.93,-0.52%,1368576
37,"OEC","Orion S.A","Basic Materials","Specialty Chemicals","Luxembourg",279.63,,4.98,0.40%,437474
38,"PLG","Platinum Group Metals Ltd","Basic Materials","Other Precious Metals & Mining","Canada",287.18,,2.46,2.93%,2444329
39,"CLW","Clearwater Paper Corp","Basic Materials","Paper & Paper Products","USA",288.21,,17.97,2.04%,134676
40,"GLDG","GoldMining Inc","Basic Materials","Gold","Canada",302.51,,1.46,3.55%,3132995
41,"AREC","American Resources Corporation","Basic Materials","Coking Coal","USA",304.18,,3.00,-5.36%,3885308
42,"IONR","ioneer Ltd ADR","Basic Materials","Other Industrial Metals & Mining","Australia",314.96,,4.71,-2.89%,105108
43,"NVA","Nova Minerals Limited ADR","Basic Materials","Other Industrial Metals & Mining","Australia",317.84,,9.21,-11.27%,2052443
44,"HDSN","Hudson Technologies, Inc","Basic Materials","Specialty Chemicals","USA",318.70,14.56,7.31,-4.19%,1488900
45,"THM","International Tower Hill Mines Ltd","Basic Materials","Gold","Canada",361.71,,1.74,0.00%,689334
46,"VOXR","Vox Royalty Corp","Basic Materials","Other Precious Metals & Mining","Canada",370.71,,5.43,4.02%,740744
47,"RYAM","Rayonier Advanced Materials Inc","Basic Materials","Chemicals","USA",422.14,,6.30,-1.25%,524960
48,"DVS","Dolly Varden Silver Corp","Basic Materials","Silver","Canada",425.32,,4.68,2.18%,1181781
49,"ASIX","AdvanSix Inc","Basic Materials","Chemicals","USA",430.36,8.33,16.02,1.84%,451805
50,"ASTL","Algoma Steel Group Inc","Basic Materials","Steel","Canada",435.46,,4.15,0.00%,1854141
51,"CMCL","Caledonia Mining Corporation Plc","Basic Materials","Gold","United Kingdom",466.60,9.24,24.17,-3.93%,226331
52,"NMG","Nouveau Monde Graphite Inc","Basic Materials","Other Industrial Metals & Mining","Canada",469.39,,3.08,-4.05%,249435
53,"MAGN","Magnera Corp","Basic Materials","Paper & Paper Products","USA",503.03,,14.13,1.36%,923395
54,"BAK","Braskem S.A. ADR","Basic Materials","Chemicals","Brazil",503.79,,2.92,-1.68%,1386326
55,"WRN","Western Copper & Gold Corp","Basic Materials","Other Industrial Metals & Mining","Canada",507.17,,2.51,0.00%,970878
56,"NEWP","New Pacific Metals Corp","Basic Materials","Silver","Canada",521.79,,2.84,8.81%,1270594
