"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"STFS","Star Fashion Culture Holdings Ltd","Communication Services","Advertising Agencies","China",1.95,,0.14,0.62%,550314
2,"DGLY","Digital Ally Inc","Communication Services","Internet Content & Information","USA",2.62,,1.38,2.99%,227271
3,"HAO","Haoxi Health Technology Ltd","Communication Services","Advertising Agencies","China",2.98,0.75,1.00,-3.85%,5919
4,"DRCT","Direct Digital Holdings Inc","Communication Services","Advertising Agencies","USA",3.06,,0.10,4.08%,7465674
5,"CHR","Cheer Holding Inc","Communication Services","Advertising Agencies","China",4.62,0.02,0.04,1.50%,31330913
6,"BAOS","Baosheng Media Group Holdings Ltd","Communication Services","Advertising Agencies","China",4.90,,3.20,4.09%,7490
7,"ONFO","Onfolio Holdings Inc","Communication Services","Internet Content & Information","USA",5.08,,0.87,0.66%,30912
8,"VSME","Vs Media Holdings Ltd","Communication Services","Advertising Agencies","Hong Kong",5.26,,0.11,1.05%,2057021
9,"YDKG","Yueda Digital Holding","Communication Services","Advertising Agencies","China",6.32,,1.14,-8.80%,906476
10,"XHLD","TEN Holdings Inc","Communication Services","Broadcasting","USA",7.13,,2.40,3.00%,327028
11,"DKI","Darkiris Inc","Communication Services","Electronic Gaming & Multimedia","Hong Kong",7.45,,0.42,0.41%,86704
12,"PCLA","PicoCELA Inc ADR","Communication Services","Telecom Services","Japan",7.54,,0.31,0.16%,69170
13,"GXAI","Gaxos.AI Inc","Communication Services","Electronic Gaming & Multimedia","USA",8.76,,1.23,-1.20%,62495
14,"SOPA","Society Pass Inc","Communication Services","Advertising Agencies","USA",9.16,,1.50,-0.66%,143693
15,"BHAT","Blue Hat Interactive Entertainment Technology","Communication Services","Electronic Gaming & Multimedia","China",9.27,,1.28,0.79%,21683
16,"SLE","Super League Enterprise Inc","Communication Services","Internet Content & Information","USA",10.52,,0.92,-7.96%,149597
17,"EDUC","Educational Development Corp","Communication Services","Publishing","USA",11.16,,1.30,-0.76%,4870
18,"TNMG","TNL Mediagene","Communication Services","Publishing","Taiwan",11.16,,0.27,-9.45%,943077
19,"TDIC","Dreamland Ltd","Communication Services","Advertising Agencies","Hong Kong",12.20,14.80,0.39,40.21%,107227742
20,"FTRK","Fast Track Group","Communication Services","Entertainment","Singapore",13.10,,0.60,9.18%,434253
21,"AGAE","Allied Gaming & Entertainment Inc","Communication Services","Entertainment","USA",13.53,,0.36,1.71%,12979950
22,"MSGM","Motorsport Games Inc","Communication Services","Electronic Gaming & Multimedia","USA",14.85,27.93,2.57,-7.89%,80303
