"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"IVP","Inspire Veterinary Partners Inc","Consumer Cyclical","Personal Services","USA",0.70,,0.10,0.00%,12163195
2,"ECDA","ECD Automotive Design Inc","Consumer Cyclical","Auto Manufacturers","USA",1.02,,0.41,5.44%,650256
3,"GORV","Lazydays Holdings Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",1.57,,0.42,0.00%,0
4,"EZGO","EZGO Technologies Ltd","Consumer Cyclical","Recreational Vehicles","China",1.93,,2.22,6.73%,285335
5,"UOKA","MDJM Ltd","Consumer Cyclical","Lodging","United Kingdom",2.81,,2.63,1.15%,81205
6,"TRUG","TruGolf Holdings Inc","Consumer Cyclical","Leisure","USA",3.03,,1.17,-0.85%,66304
7,"CREV","Carbon Revolution Public Ltd. Co","Consumer Cyclical","Auto Parts","Ireland",3.30,,1.75,-2.78%,16791
8,"WBUY","Webuy Global Ltd","Consumer Cyclical","Internet Retail","Singapore",3.83,,1.97,7.07%,94936
9,"CJET","Chijet Motor Company Inc","Consumer Cyclical","Auto Manufacturers","Cayman Islands",3.98,,0.90,-5.02%,313933
10,"VMAR","Vision Marine Technologies Inc","Consumer Cyclical","Recreational Vehicles","Canada",4.07,,0.81,-18.16%,529948
11,"FTEL","Fitell Corp","Consumer Cyclical","Specialty Retail","Australia",4.10,,0.81,-0.62%,2372319
12,"XELB","Xcel Brands Inc","Consumer Cyclical","Apparel Manufacturing","USA",4.66,,0.97,4.16%,27328
13,"SBLX","StableX Technologies Inc","Consumer Cyclical","Auto Manufacturers","USA",4.73,,3.25,0.31%,85090
14,"TRNR","Interactive Strength Inc","Consumer Cyclical","Personal Services","USA",4.96,,2.08,19.54%,182099
15,"JWEL","Jowell Global Ltd","Consumer Cyclical","Internet Retail","China",5.23,,2.41,2.55%,7438
16,"VEEE","Twin Vee PowerCats Co","Consumer Cyclical","Recreational Vehicles","USA",5.28,,2.36,0.85%,272518
17,"EVTV","Envirotech Vehicles Inc","Consumer Cyclical","Auto Manufacturers","USA",5.75,,1.19,0.59%,20462
18,"AZI","Autozi Internet Technology (Global) Ltd","Consumer Cyclical","Auto & Truck Dealerships","China",6.02,0.17,0.06,-3.44%,8399864
19,"AREB","American Rebel Holdings Inc","Consumer Cyclical","Footwear & Accessories","USA",6.65,,1.07,-2.73%,1049695
20,"VSTD","Vestand Inc","Consumer Cyclical","Restaurants","USA",6.68,,0.47,-4.47%,85122
21,"BQ","Boqii Holding Limited","Consumer Cyclical","Specialty Retail","China",6.88,,2.39,-2.85%,384783
22,"CLIK","Click Holdings Ltd","Consumer Cyclical","Personal Services","Hong Kong",7.50,,6.55,14.91%,646035
23,"PTLE","PTL Ltd","Consumer Cyclical","Specialty Retail","Singapore",7.52,,0.15,-3.44%,830525
24,"FRSX","Foresight Autonomous Holdings Ltd ADR","Consumer Cyclical","Auto Parts","Israel",7.71,,1.88,2.73%,153269
25,"NVVE","Nuvve Holding Corp","Consumer Cyclical","Specialty Retail","USA",7.87,,0.18,-3.19%,5806884
26,"FMFC","Kandal M Venture Ltd","Consumer Cyclical","Footwear & Accessories","USA",8.74,41.55,0.48,-10.29%,199456
27,"BTBD","BT Brands Inc","Consumer Cyclical","Restaurants","USA",9.44,,1.59,1.92%,11761
28,"JZXN","Jiuzi Holdings Inc","Consumer Cyclical","Auto & Truck Dealerships","China",9.91,,0.18,-4.00%,267316
29,"LOBO","Lobo Technologies Ltd","Consumer Cyclical","Auto Manufacturers","China",10.17,,0.86,0.12%,74488
30,"INEO","INNEOVA Holdings Ltd","Consumer Cyclical","Auto Parts","Singapore",10.92,,0.66,-0.32%,7802
31,"FLYE","Fly-E Group Inc","Consumer Cyclical","Auto Manufacturers","USA",13.50,,8.27,-17.22%,137555
32,"PMNT","Perfect Moment Ltd","Consumer Cyclical","Apparel Manufacturing","USA",14.44,,0.41,-11.06%,319679
