"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"TANH","Tantech Holdings Ltd","Consumer Defensive","Household & Personal Products","China",1.51,,1.11,-0.89%,30560
2,"STKH","Steakholder Foods Ltd ADR","Consumer Defensive","Packaged Foods","Israel",1.73,,3.20,1.91%,161421
3,"PAVS","Paranovus Entertainment Technology Ltd","Consumer Defensive","Packaged Foods","USA",2.46,,0.04,16.19%,1054633808
4,"MEHA","Functional Brands Inc","Consumer Defensive","Packaged Foods","USA",2.72,,0.39,-0.80%,579390
5,"ORIS","Oriental Rise Holdings Ltd","Consumer Defensive","Packaged Foods","China",2.73,41.33,0.12,-1.20%,1317822
6,"VSA","VisionSys AI Inc ADR","Consumer Defensive","Education & Training Services","China",3.63,,0.09,-2.44%,15320603
7,"SBEV","Splash Beverage Group Inc","Consumer Defensive","Beverages - Wineries & Distilleries","USA",3.83,,1.50,2.04%,342857
8,"AQB","AquaBounty Technologies Inc","Consumer Defensive","Farm Products","USA",3.85,,0.99,-2.65%,9559
9,"SDOT","Sadot Group Inc","Consumer Defensive","Farm Products","USA",4.37,,3.38,0.60%,12133
10,"RAY","Raytech Holding Ltd","Consumer Defensive","Household & Personal Products","Hong Kong",4.69,28.57,1.72,-2.28%,11891
11,"GNLN","Greenlane Holdings Inc","Consumer Defensive","Tobacco","USA",4.88,,3.25,1.56%,44619
12,"RKDA","Arcadia Biosciences Inc","Consumer Defensive","Packaged Foods","USA",5.00,,3.64,-0.27%,8697
13,"KAVL","Kaival Brands Innovations Group Inc","Consumer Defensive","Tobacco","USA",5.74,,0.50,3.84%,36541
14,"FCHL","Fitness Champs Holdings Ltd","Consumer Defensive","Education & Training Services","Singapore",5.79,44.25,0.34,-0.35%,303616
15,"LXEH","Lixiang Education Holding Co Ltd ADR","Consumer Defensive","Education & Training Services","China",5.99,,0.32,0.13%,100816
16,"GV","Visionary Holdings Inc","Consumer Defensive","Education & Training Services","Canada",6.15,,1.42,-2.07%,30494
17,"EDBL","Edible Garden AG Inc","Consumer Defensive","Farm Products","USA",6.87,,1.34,3.88%,132977
18,"WAFU","Wah Fu Education Group Ltd","Consumer Defensive","Education & Training Services","China",7.19,,1.63,0.00%,2804
19,"BYAH","Park Ha Biological Technology Co Ltd","Consumer Defensive","Household & Personal Products","China",7.40,,0.22,-11.68%,929447
20,"XXII","22nd Century Group Inc","Consumer Defensive","Tobacco","USA",7.41,,1.06,0.95%,120714
21,"AMZE","Amaze Holdings Inc","Consumer Defensive","Beverages - Wineries & Distilleries","USA",7.78,,0.39,0.75%,7015173
22,"EEIQ","EpicQuest Education Group International Limited","Consumer Defensive","Education & Training Services","USA",7.95,,0.34,5.00%,45056
23,"SOWG","Sow Good Inc","Consumer Defensive","Confectioners","USA",8.03,,0.66,0.97%,43392
24,"DTCK","Davis Commodities Ltd","Consumer Defensive","Farm Products","Singapore",8.58,,0.35,-5.33%,194651
25,"KIDZ","Classover Holdings Inc","Consumer Defensive","Education & Training Services","USA",8.66,,0.31,-3.32%,713254
26,"IBG","Innovation Beverage Group Ltd","Consumer Defensive","Beverages - Wineries & Distilleries","Australia",8.71,,2.51,7.73%,305196
27,"HCWC","Healthy Choice Wellness Corp","Consumer Defensive","Packaged Foods","USA",8.75,,0.58,0.59%,190185
28,"RMCF","Rocky Mountain Chocolate Factory Inc","Consumer Defensive","Confectioners","USA",12.87,,1.65,2.48%,27356
29,"MSS","Maison Solutions Inc","Consumer Defensive","Grocery Stores","USA",12.93,,0.53,1.19%,39909
30,"YHC","LQR House Inc","Consumer Defensive","Beverages - Wineries & Distilleries","USA",12.94,,0.92,-4.67%,611228
31,"NCRA","Nocera, Inc","Consumer Defensive","Packaged Foods","Taiwan",13.17,,0.92,-0.45%,11938
32,"COOT","Australian Oilseeds Holdings Limited","Consumer Defensive","Packaged Foods","Australia",23.96,,0.86,1.18%,135387
33,"PFAI","Pinnacle Food Group Ltd","Consumer Defensive","Farm Products","Canada",27.69,,2.37,3.82%,7311
34,"IMG","CIMG Inc","Consumer Defensive","Packaged Foods","Hong Kong",39.02,,2.52,15.92%,974786
35,"DSY","Big Tree Cloud Holdings Ltd","Consumer Defensive","Household & Personal Products","China",39.22,,0.41,-1.71%,117095
36,"RYET","Ruanyun Edai Technology Inc","Consumer Defensive","Education & Training Services","China",39.49,,1.17,0.86%,15392
37,"WYHG","Wing Yip Food Holdings Group Ltd. ADR","Consumer Defensive","Packaged Foods","China",43.22,6.38,0.86,2.36%,9508
38,"BOF","BranchOut Food Inc","Consumer Defensive","Packaged Foods","USA",44.82,,3.35,0.60%,27446
39,"EPSM","Epsium Enterprise Ltd","Consumer Defensive","Beverages - Wineries & Distilleries","USA",50.53,,3.76,-1.31%,132846
40,"GNS","Genius Group Ltd","Consumer Defensive","Education & Training Services","Singapore",53.09,,0.65,-2.99%,1317372
41,"AGRZ","Agroz Inc","Consumer Defensive","Farm Products","Malaysia",53.09,,2.45,-9.26%,264737
42,"HAIN","Hain Celestial Group Inc","Consumer Defensive","Packaged Foods","USA",93.28,,1.03,-3.74%,1165406
43,"CHGG","Chegg Inc","Consumer Defensive","Education & Training Services","USA",97.25,,0.89,-0.95%,1894394
44,"YOUL","Youlife Group Inc. ADR","Consumer Defensive","Education & Training Services","China",121.99,,1.88,0.00%,47311
45,"ABVE","Above Food Ingredients Inc","Consumer Defensive","Packaged Foods","Canada",141.29,,2.76,-1.08%,1100177
46,"SKIN","Beauty Health Company","Consumer Defensive","Household & Personal Products","USA",186.15,,1.46,-7.59%,916289
47,"ZVIA","Zevia PBC","Consumer Defensive","Beverages - Non-Alcoholic","USA",193.51,,2.58,-2.27%,595333
