"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"TPET","Trio Petroleum Corp","Energy","Oil & Gas E&P","USA",7.70,,0.91,1.42%,187127
2,"SKYQ","Sky Quarry Inc","Energy","Oil & Gas Integrated","USA",9.64,,0.39,3.48%,79261
3,"RBNE","Robin Energy Ltd","Energy","Oil & Gas Midstream","Cyprus",12.06,,0.86,2.88%,223403
4,"DLXY","Delixy Holdings Ltd","Energy","Oil & Gas Refining & Marketing","Singapore",16.16,20.98,0.99,-4.06%,2988
5,"VIVK","Vivakor Inc","Energy","Oil & Gas Integrated","USA",17.41,,0.10,-5.12%,13161617
6,"NINE","Nine Energy Service Inc","Energy","Oil & Gas Equipment & Services","USA",21.03,,0.49,5.43%,1726174
7,"EONR","EON Resources Inc","Energy","Oil & Gas E&P","USA",23.39,,0.47,1.34%,621458
8,"USEG","U.S. Energy Corp","Energy","Oil & Gas E&P","USA",37.98,,1.06,4.95%,494995
9,"INDO","Indonesia Energy Corp Ltd","Energy","Oil & Gas E&P","Indonesia",44.96,,3.00,4.90%,609031
10,"HUSA","Houston American Energy Corp","Energy","Oil & Gas E&P","USA",74.81,,2.16,0.93%,388990
11,"PROP","Prairie Operating Co","Energy","Oil & Gas E&P","USA",106.77,,1.79,-2.72%,707363
12,"EPM","Evolution Petroleum Corporation","Energy","Oil & Gas E&P","USA",146.05,,4.21,0.48%,309347
13,"GTE","Gran Tierra Energy Inc","Energy","Oil & Gas E&P","Canada",166.24,,4.71,0.21%,237218
14,"GEOS","Geospace Technologies Corp","Energy","Oil & Gas Equipment & Services","USA",189.23,,14.76,-2.45%,182766
15,"REI","Ring Energy Inc","Energy","Oil & Gas E&P","USA",194.91,,0.94,0.06%,1139049
16,"IMPP","Imperial Petroleum Inc","Energy","Oil & Gas Midstream","Greece",204.04,4.25,4.57,-0.65%,558014
17,"AMPY","Amplify Energy Corp","Energy","Oil & Gas E&P","USA",225.05,,5.56,-1.94%,665550
18,"BRY","Berry Corp","Energy","Oil & Gas E&P","USA",266.19,,3.43,-0.29%,386236
19,"WTI","W & T Offshore Inc","Energy","Oil & Gas E&P","USA",275.24,,1.85,2.78%,728409
20,"SJT","San Juan Basin Royalty Trust","Energy","Oil & Gas E&P","USA",279.19,,5.99,1.87%,206426
21,"EGY","VAALCO Energy, Inc","Energy","Oil & Gas E&P","USA",370.12,12.96,3.55,-0.28%,982374
22,"OIS","Oil States International, Inc","Energy","Oil & Gas Equipment & Services","USA",406.27,18.14,6.80,-1.02%,484609
23,"OBE","Obsidian Energy Ltd","Energy","Oil & Gas E&P","Canada",419.50,,6.25,1.46%,458525
24,"GPRK","Geopark Limited","Energy","Oil & Gas E&P","Colombia",423.31,12.71,8.25,-1.90%,582113
25,"NFE","New Fortress Energy Inc","Energy","Oil & Gas Midstream","USA",446.75,,1.57,12.14%,40894446
26,"FTK","Flotek Industries Inc","Energy","Oil & Gas Equipment & Services","USA",492.35,18.34,16.38,2.31%,435570
27,"CLNE","Clean Energy Fuels Corp","Energy","Oil & Gas Refining & Marketing","USA",502.20,,2.29,-2.55%,875811
28,"CLCO","Cool Company Ltd","Energy","Oil & Gas Midstream","United Kingdom",517.42,5.36,9.77,0.31%,65470
29,"URG","Ur-Energy Inc","Energy","Uranium","USA",519.17,,1.38,-4.17%,5605522
30,"UROY","Uranium Royalty Corp","Energy","Uranium","Canada",522.53,,3.91,-3.46%,1616755
31,"EU","enCore Energy Corp","Energy","Uranium","USA",533.66,,2.85,-6.25%,1799224
32,"KOS","Kosmos Energy Ltd","Energy","Oil & Gas E&P","USA",550.08,,1.15,7.48%,22906746
33,"SD","Sandridge Energy Inc","Energy","Oil & Gas E&P","USA",559.70,8.49,15.22,0.86%,337699
34,"GRNT","Granite Ridge Resources Inc","Energy","Oil & Gas E&P","USA",711.38,18.90,5.42,1.69%,819441
35,"HPK","HighPeak Energy Inc","Energy","Oil & Gas E&P","USA",724.64,16.12,5.77,-8.05%,662065
36,"VTLE","Vital Energy Inc","Energy","Oil & Gas E&P","USA",733.95,,18.97,1.93%,365344
37,"TEN","Tsakos Energy Navigation Limited","Energy","Oil & Gas Midstream","Greece",762.13,7.79,24.74,0.98%,167567
38,"ACDC","ProFrac Holding Corp","Energy","Oil & Gas Equipment & Services","USA",766.89,,4.24,-2.30%,1189800
39,"CLB","Core Laboratories Inc","Energy","Oil & Gas Equipment & Services","USA",783.66,24.80,16.83,2.06%,486246
40,"NAT","Nordic American Tankers Ltd","Energy","Oil & Gas Midstream","Bermuda",791.95,415.56,3.74,0.00%,3534714
41,"TK","Teekay Corporation Ltd","Energy","Oil & Gas Midstream","Bermuda",800.68,6.58,9.39,-1.98%,522193
42,"SOC","Sable Offshore Corp","Energy","Oil & Gas Drilling","USA",817.58,,5.64,10.59%,5700822
43,"VTS","Vitesse Energy Inc","Energy","Oil & Gas E&P","USA",832.64,45.01,21.53,-0.92%,353466
44,"NBR","Nabors Industries Ltd","Energy","Oil & Gas Drilling","Bermuda",850.66,6.05,58.42,2.65%,456841
45,"HNRG","Hallador Energy Co","Energy","Thermal Coal","USA",874.31,,19.95,1.68%,401286
46,"INR","Infinity Natural Resources Inc","Energy","Oil & Gas E&P","USA",902.21,,14.82,3.78%,378110
47,"WBI","WaterBridge Infrastructure LLC","Energy","Oil & Gas Equipment & Services","USA",982.87,,22.72,1.16%,300859
48,"LPG","Dorian LPG Ltd","Energy","Oil & Gas Midstream","USA",1069.24,11.21,24.96,-0.24%,463286
49,"HLX","Helix Energy Solutions Group Inc","Energy","Oil & Gas Equipment & Services","USA",1078.10,25.96,7.33,-2.40%,1470230
50,"NPKI","NPK International Inc","Energy","Oil & Gas Equipment & Services","USA",1081.53,33.44,12.80,-1.08%,624979
51,"PUMP","ProPetro Holding Corp","Energy","Oil & Gas Equipment & Services","USA",1134.45,,10.91,-1.80%,2393569
52,"BORR","Borr Drilling Ltd","Energy","Oil & Gas Drilling","Bermuda",1157.78,16.22,4.05,7.71%,7615380
53,"NVGS","Navigator Holdings Ltd","Energy","Oil & Gas Midstream","United Kingdom",1163.95,11.83,17.76,-1.06%,249853
54,"DEC","Diversified Energy Co","Energy","Oil & Gas Integrated","USA",1207.60,,15.84,3.39%,558991
55,"NGL","NGL Energy Partners LP","Energy","Oil & Gas Midstream","USA",1228.31,,9.77,-1.01%,145294
56,"AESI","Atlas Energy Solutions Inc","Energy","Oil & Gas Equipment & Services","USA",1233.62,,9.95,-1.00%,2999130
57,"RES","RPC, Inc","Energy","Oil & Gas Equipment & Services","USA",1288.15,26.53,5.84,0.86%,1393996
58,"WKC","World Kinect Corp","Energy","Oil & Gas Refining & Marketing","USA",1345.08,,24.21,0.75%,807768
59,"WTTR","Select Water Solutions Inc","Energy","Oil & Gas Equipment & Services","USA",1356.65,57.91,11.20,-0.27%,793800
60,"FLNG","Flex Lng Ltd","Energy","Oil & Gas Midstream","Bermuda",1362.75,13.87,25.29,-2.09%,445648
61,"VET","Vermilion Energy Inc","Energy","Oil & Gas E&P","Canada",1385.83,,9.04,-0.33%,1330600
62,"NESR","National Energy Services Reunited Corp","Energy","Oil & Gas Equipment & Services","USA",1498.57,20.72,14.87,1.02%,635997
63,"KRP","Kimbell Royalty Partners LP","Energy","Oil & Gas E&P","USA",1570.13,,12.83,0.79%,537728
64,"FLOC","Flowco Holdings Inc","Energy","Oil & Gas Equipment & Services","USA",1613.79,34.96,18.00,-1.32%,404591
65,"INVX","Innovex International Inc","Energy","Oil & Gas Equipment & Services","USA",1615.67,15.97,23.44,-0.68%,361383
66,"NEXT","NextDecade Corporation","Energy","Oil & Gas Equipment & Services","USA",1628.53,,6.15,-1.28%,2196124
67,"XPRO","Expro Group Holdings N.V","Energy","Oil & Gas Equipment & Services","USA",1688.64,25.16,14.87,0.13%,674199
68,"EFXT","Enerflex Ltd","Energy","Oil & Gas Equipment & Services","Canada",1757.57,13.09,14.43,2.20%,381549
