"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"AKAN","Akanda Corp","Healthcare","Drug Manufacturers - Specialty & Generic","United Kingdom",0.68,,0.94,-0.88%,30931351
2,"ADTX","Aditxt Inc","Healthcare","Biotechnology","USA",1.72,,3.08,5.84%,3860501
3,"MNDR","Mobile health Network Solutions","Healthcare","Health Information Services","Singapore",1.87,,1.52,-15.56%,986298
4,"NIVF","NewGenIvf Group Ltd","Healthcare","Medical Care Facilities","Thailand",1.91,,1.45,-2.68%,239330
5,"PRFX","PainReform Ltd","Healthcare","Drug Manufacturers - Specialty & Generic","Israel",1.93,,0.96,-5.82%,1497779
6,"CLSD","Clearside Biomedical Inc","Healthcare","Biotechnology","USA",2.15,,0.41,0.00%,0
7,"BJDX","Bluejay Diagnostics Inc","Healthcare","Medical Devices","USA",2.21,,1.22,2.52%,46560
8,"UPC","Universe Pharmaceuticals INC","Healthcare","Drug Manufacturers - Specialty & Generic","China",2.35,0.00,4.18,1.46%,55433
9,"VRAX","Virax Biolabs Group Ltd","Healthcare","Biotechnology","United Kingdom",2.73,,0.63,-2.24%,1542052
10,"SHPH","Shuttle Pharmaceuticals Holdings Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",2.81,,1.75,10.76%,110742
11,"IVF","INVO Fertility Inc","Healthcare","Medical Devices","USA",2.91,,1.54,-6.10%,228683
12,"CDT","CDT Equity Inc","Healthcare","Biotechnology","USA",2.92,,1.79,-1.65%,171070
13,"PBM","Psyence Biomedical Ltd","Healthcare","Biotechnology","Canada",3.29,,1.76,-2.76%,61934
14,"VERO","Venus Concept Inc","Healthcare","Medical Devices","Canada",3.59,,1.93,-0.52%,11497
15,"ELAB","PMGC Holdings Inc","Healthcare","Biotechnology","USA",3.69,,4.96,-0.40%,13076
16,"AZTR","Azitra Inc","Healthcare","Biotechnology","USA",3.70,,0.36,-0.93%,128446
17,"ARTL","Artelo Biosciences Inc","Healthcare","Biotechnology","USA",3.71,,1.84,-10.68%,229259
18,"WORX","SCWorx Corp","Healthcare","Health Information Services","USA",3.77,,0.24,-3.05%,840584
19,"INM","InMed Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic","Canada",4.01,,1.43,6.72%,420250
20,"INDP","Indaptus Therapeutics Inc","Healthcare","Biotechnology","USA",4.38,,2.50,16.82%,86756
21,"XRTX","XORTX Therapeutics Inc","Healthcare","Biotechnology","Canada",4.39,,0.63,-0.03%,58271
