"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"YGMZ","MingZhu Logistics Holdings Ltd","Industrials","Trucking","China",0.38,0.18,0.08,24.25%,51346383
2,"UGRO","Urban-gro Inc","Industrials","Farm & Heavy Construction Machinery","USA",2.86,,0.23,-8.53%,494228
3,"GP","GreenPower Motor Company Inc","Industrials","Farm & Heavy Construction Machinery","Canada",3.11,,1.01,-3.81%,24140
4,"SGLY","Singularity Future Technology Ltd","Industrials","Integrated Freight & Logistics","USA",4.44,,0.61,-0.39%,18492
5,"WXM","WF International Ltd","Industrials","Industrial Distribution","China",4.48,,0.52,5.86%,21093
6,"LNKS","Linkers Industries Ltd","Industrials","Electrical Equipment & Parts","Malaysia",4.57,,0.34,-2.02%,19931
7,"CISS","C3is Inc","Industrials","Marine Shipping","Greece",4.80,,1.86,-1.12%,46215
8,"CCTG","CCSC Technology International Holdings Ltd","Industrials","Electrical Equipment & Parts","Hong Kong",5.14,,0.22,3.97%,694422
9,"DFSC","DEFSEC Technologies Inc","Industrials","Aerospace & Defense","Canada",5.21,,3.72,-2.36%,202194
10,"CDTG","CDT Environmental Technology Investment Holdings Ltd","Industrials","Waste Management","China",5.22,20.67,0.42,-4.29%,10742
11,"ATXG","Addentax Group Corp","Industrials","Integrated Freight & Logistics","China",5.51,,0.47,1.03%,42789
12,"GWAV","Greenwave Technology Solutions Inc","Industrials","Waste Management","USA",5.57,,6.71,-3.17%,133391
13,"CETY","Clean Energy Technologies Inc","Industrials","Specialty Industrial Machinery","USA",5.70,,1.10,-9.84%,613810
14,"AIHS","Senmiao Technology Ltd","Industrials","Rental & Leasing Services","China",5.93,,1.30,-2.11%,26279
15,"SKK","SKK Holdings Ltd","Industrials","Engineering & Construction","Singapore",5.96,8.48,0.32,-2.65%,30278
16,"POLA","Polar Power Inc","Industrials","Electrical Equipment & Parts","USA",6.11,,2.30,2.45%,16563
17,"FGL","Founder Group Ltd","Industrials","Engineering & Construction","Malaysia",6.18,,0.37,-2.80%,834447
18,"IVDA","Iveda Solutions Inc","Industrials","Security & Protection Services","USA",6.99,,1.19,-9.85%,271606
19,"HXHX","Haoxin Holdings Ltd","Industrials","Integrated Freight & Logistics","China",7.00,13.83,0.51,-6.61%,40552
20,"VCIG","VCI Global Ltd","Industrials","Consulting Services","Malaysia",7.33,,1.12,-4.27%,4466376
