"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"CMCT","Creative Media & Community Trust","Real Estate","REIT - Office","USA",3.05,,3.86,-0.26%,894341
2,"PW","Power REIT","Real Estate","REIT - Specialty","USA",3.36,,0.99,-1.97%,99959
3,"WHLR","Wheeler Real Estate Investment Trust Inc","Real Estate","REIT - Retail","USA",4.42,0.00,6.41,97.84%,88445346
4,"GIPR","Generation Income Properties Inc","Real Estate","REIT - Diversified","USA",4.87,,0.89,2.10%,30651
5,"SQFT","Presidio Property Trust Inc","Real Estate","REIT - Diversified","USA",6.03,,4.19,5.81%,5728
6,"SGD","Safe and Green Development Corp","Real Estate","Real Estate - Development","USA",7.41,,0.83,-20.57%,2733960
7,"DUO","Fangdd Network Group Ltd","Real Estate","Real Estate Services","China",8.34,,2.08,1.46%,71052
8,"IHT","Innsuites Hospitality Trust","Real Estate","REIT - Hotel & Motel","USA",15.33,,1.28,-0.78%,16595
9,"LRE","Lead Real Estate Co Ltd ADR","Real Estate","Real Estate - Development","Japan",18.00,3.12,1.32,0.00%,8993
10,"FTHM","Fathom Holdings Inc","Real Estate","Real Estate Services","USA",38.55,,1.19,-1.65%,64676
11,"SOHO","Sotherly Hotels Inc","Real Estate","REIT - Hotel & Motel","USA",44.43,,2.17,-0.23%,59092
12,"SACH","Sachem Capital Corp","Real Estate","REIT - Mortgage","USA",51.98,,1.09,3.81%,471698
13,"AFCG","Advanced Flower Capital Inc","Real Estate","REIT - Mortgage","USA",65.07,,2.88,-0.35%,137086
14,"OPAD","Offerpad Solutions Inc","Real Estate","Real Estate Services","USA",67.45,,1.83,-7.58%,661350
15,"AIRE","reAlpha Tech Corp","Real Estate","Real Estate Services","USA",68.43,,0.53,-4.66%,2659445
16,"JFB","JFB Construction Holdings","Real Estate","Real Estate - Development","USA",90.51,,15.17,-13.81%,41446
17,"CHMI","Cherry Hill Mortgage Investment Corporation","Real Estate","REIT - Mortgage","USA",91.11,129.17,2.48,0.81%,143489
18,"FSP","Franklin Street Properties Corp","Real Estate","REIT - Office","USA",96.58,,0.93,-3.98%,492563
19,"AEI","Alset Inc","Real Estate","Real Estate - Development","USA",115.55,,2.97,-3.26%,51780
20,"ONL","Orion Properties Inc","Real Estate","REIT - Office","USA",116.01,,2.06,-2.37%,333707
21,"GPMT","Granite Point Mortgage Trust Inc","Real Estate","REIT - Mortgage","USA",130.84,,2.76,0.36%,183435
22,"NXDT","NexPoint Diversified Real Estate Trust","Real Estate","REIT - Diversified","USA",138.73,,2.83,4.04%,404658
23,"BHR","Braemar Hotels & Resorts Inc","Real Estate","REIT - Hotel & Motel","USA",180.78,,2.65,0.76%,386117
24,"LHAI","Linkhome Holdings Inc","Real Estate","Real Estate Services","USA",197.36,391.00,12.16,-6.53%,135189
25,"DOUG","Douglas Elliman Inc","Real Estate","Real Estate Services","USA",228.26,,2.57,-1.91%,222537
26,"CIO","City Office REIT Inc","Real Estate","REIT - Office","Canada",280.12,,6.94,2.06%,1776427
27,"ACRE","Ares Commercial Real Estate Corp","Real Estate","REIT - Mortgage","USA",280.63,,5.10,-0.97%,462573
28,"SVC","Service Properties Trust","Real Estate","REIT - Hotel & Motel","USA",304.24,,1.81,0.00%,824377
29,"CLDT","Chatham Lodging Trust","Real Estate","REIT - Hotel & Motel","USA",315.84,586.49,6.51,-0.15%,233650
30,"LAND","Gladstone Land Corp","Real Estate","REIT - Specialty","USA",340.25,,9.13,-0.98%,319825
31,"SITC","SITE Centers Corp","Real Estate","REIT - Retail","USA",382.98,13.23,7.30,1.11%,1595046
32,"ILPT","Industrial Logistics Properties Trust","Real Estate","REIT - Industrial","USA",387.29,,5.81,0.87%,269268
33,"RC","Ready Capital Corp","Real Estate","REIT - Mortgage","USA",424.77,,2.62,0.00%,2841401
34,"FPI","Farmland Partners Inc","Real Estate","REIT - Specialty","USA",428.82,8.31,9.95,0.00%,361786
35,"CHCT","Community Healthcare Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",435.33,,15.29,0.53%,240472
36,"CMTG","Claros Mortgage Trust Inc","Real Estate","REIT - Mortgage","USA",485.16,,3.46,-0.29%,238217
37,"AHH","Armada Hoffler Properties Inc","Real Estate","REIT - Diversified","USA",517.79,47.78,6.46,-0.46%,513051
38,"GOOD","Gladstone Commercial Corp","Real Estate","REIT - Diversified","USA",530.23,58.92,10.87,-0.09%,360172
39,"BDN","Brandywine Realty Trust","Real Estate","REIT - Office","USA",540.07,,3.10,-2.82%,3266879
40,"KREF","KKR Real Estate Finance Trust Inc","Real Estate","REIT - Mortgage","USA",563.29,,8.57,1.54%,1226582
41,"CTO","CTO Realty Growth Inc","Real Estate","REIT - Diversified","USA",582.70,,18.00,0.28%,231123
42,"IVR","Invesco Mortgage Capital Inc","Real Estate","REIT - Mortgage","USA",595.94,16.48,8.40,2.07%,1447256
43,"INN","Summit Hotel Properties Inc","Real Estate","REIT - Hotel & Motel","USA",598.10,,4.91,-0.81%,475323
44,"ADAM","Adamas Trust Inc","Real Estate","REIT - Mortgage","USA",673.70,39.47,7.46,-0.13%,513611
45,"TRTX","TPG RE Finance Trust Inc","Real Estate","REIT - Mortgage","USA",702.79,13.78,8.98,0.34%,745741
46,"RWT","Redwood Trust Inc","Real Estate","REIT - Mortgage","USA",715.75,,5.65,0.71%,700659
47,"BRSP","BrightSpire Capital Inc","Real Estate","REIT - Mortgage","USA",744.67,,5.74,1.41%,498696
48,"HPP","Hudson Pacific Properties Inc","Real Estate","REIT - Office","USA",797.47,,13.48,-0.59%,1814211
49,"AIV","Apartment Investment & Management Co","Real Estate","REIT - Residential","USA",802.50,,5.57,-0.18%,984067
50,"REAX","The Real Brokerage Inc","Real Estate","Real Estate Services","USA",818.29,,3.88,-0.26%,773393
51,"FBRT","Franklin BSP Realty Trust Inc","Real Estate","REIT - Mortgage","USA",868.29,13.33,10.64,1.24%,633942
52,"SAFE","Safehold Inc","Real Estate","REIT - Diversified","USA",965.12,8.45,13.45,0.52%,416836
53,"MFA","MFA Financial Inc","Real Estate","REIT - Mortgage","USA",982.10,11.29,9.61,0.95%,930480
54,"PLYM","Plymouth Industrial Reit Inc","Real Estate","REIT - Industrial","USA",985.06,10.94,21.87,-0.18%,446753
55,"DEA","Easterly Government Properties Inc","Real Estate","REIT - Office","USA",988.56,70.67,21.44,-1.92%,388375
56,"PDM","Piedmont Realty Trust Inc","Real Estate","REIT - Office","USA",1021.06,,8.20,-2.26%,520243
57,"TWO","Two Harbors Investment Corp","Real Estate","REIT - Mortgage","USA",1064.47,,10.22,0.20%,1310984
58,"CIM","Chimera Investment Corp","Real Estate","REIT - Mortgage","USA",1076.81,,12.95,0.78%,648936
59,"PMT","Pennymac Mortgage Investment Trust","Real Estate","REIT - Mortgage","USA",1105.11,13.86,12.70,0.32%,1254748
60,"ALEX","Alexander & Baldwin Inc","Real Estate","REIT - Retail","USA",1107.38,15.12,15.22,-0.59%,467400
61,"RLJ","RLJ Lodging Trust","Real Estate","REIT - Hotel & Motel","USA",1111.59,151.55,7.32,0.69%,2028139
62,"ORC","Orchid Island Capital Inc","Real Estate","REIT - Mortgage","USA",1115.08,15.16,7.35,0.55%,5536289
63,"AAT","American Assets Trust Inc","Real Estate","REIT - Diversified","USA",1145.39,18.44,18.73,-0.79%,317568
64,"ESRT","Empire State Realty Trust Inc","Real Estate","REIT - Diversified","USA",1148.80,32.89,6.75,-1.75%,1440700
65,"DHC","Diversified Healthcare Trust","Real Estate","REIT - Healthcare Facilities","USA",1155.04,,4.77,-0.21%,571141
66,"IRS","Irsa Inversiones Y Representaciones S.A. ADR","Real Estate","Real Estate Services","Argentina",1171.25,3.07,15.15,-0.13%,159671
67,"PEB","Pebblebrook Hotel Trust","Real Estate","REIT - Hotel & Motel","USA",1224.56,,10.78,-0.09%,1200307
68,"SILA","Sila Realty Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",1261.69,32.42,22.89,-2.05%,269632
69,"XHR","Xenia Hotels & Resorts Inc","Real Estate","REIT - Hotel & Motel","USA",1279.88,24.11,13.50,0.30%,550869
70,"JBGS","JBG SMITH Properties","Real Estate","REIT - Office","USA",1304.24,,17.92,-1.43%,742347
71,"UMH","UMH Properties Inc","Real Estate","REIT - Residential","USA",1305.73,201.05,15.32,0.20%,467714
72,"VRE","Veris Residential Inc","Real Estate","REIT - Residential","USA",1334.13,22.00,14.28,-1.99%,636671
73,"KW","Kennedy-Wilson Holdings Inc","Real Estate","Real Estate Services","USA",1337.67,,9.70,0.10%,803039
74,"WSR","Whitestone REIT","Real Estate","REIT - Retail","USA",1355.86,15.47,13.22,-0.15%,174488
75,"LADR","Ladder Capital Corp","Real Estate","REIT - Mortgage","USA",1383.98,17.20,10.87,-0.73%,631865
76,"IIPR","Innovative Industrial Properties Inc","Real Estate","REIT - Industrial","USA",1405.07,11.85,50.14,-1.44%,292890
77,"ARI","Apollo Commercial Real Estate Finance Inc","Real Estate","REIT - Mortgage","USA",1410.28,11.46,10.15,1.81%,664655
78,"NTST","Netstreit Corp","Real Estate","REIT - Retail","USA",1466.35,10270.59,17.46,-0.63%,976103
79,"EFC","Ellington Financial Inc","Real Estate","REIT - Mortgage","USA",1472.38,10.40,13.72,0.66%,920170
80,"ELME","Elme Communities","Real Estate","REIT - Residential","USA",1514.61,,17.18,-0.17%,1124725
81,"UNIT","Uniti Group Inc","Real Estate","REIT - Specialty","USA",1527.44,1.26,6.39,-2.74%,1611784
82,"PGRE","Paramount Group Inc","Real Estate","REIT - Office","USA",1565.09,,6.57,-0.15%,718979
83,"HOUS","Anywhere Real Estate Inc","Real Estate","Real Estate Services","USA",1581.04,,14.10,-0.63%,825805
84,"GTY","Getty Realty Corp","Real Estate","REIT - Retail","USA",1612.77,21.86,27.93,0.61%,267215
85,"LTC","LTC Properties, Inc","Real Estate","REIT - Healthcare Facilities","USA",1675.07,48.17,35.18,-0.71%,266466
86,"SHO","Sunstone Hotel Investors Inc","Real Estate","REIT - Hotel & Motel","USA",1695.84,970.65,8.93,0.00%,1405720
87,"ABR","Arbor Realty Trust Inc","Real Estate","REIT - Mortgage","USA",1732.04,11.31,8.85,-1.23%,2242099
88,"EXPI","eXp World Holdings Inc","Real Estate","Real Estate Services","USA",1737.67,,10.94,-1.62%,841249
89,"GNL","Global Net Lease Inc","Real Estate","REIT - Diversified","USA",1777.97,,8.11,-0.25%,768809
90,"DRH","Diamondrock Hospitality Co","Real Estate","REIT - Hotel & Motel","USA",1791.51,33.52,8.75,1.27%,3201392
91,"CCS","Century Communities Inc","Real Estate","Real Estate - Development","USA",1831.52,9.10,62.33,-0.29%,200276
92,"ARR","ARMOUR Residential REIT Inc","Real Estate","REIT - Mortgage","USA",1967.17,379.70,17.58,0.80%,1879592
93,"DEI","Douglas Emmett Inc","Real Estate","REIT - Office","USA",1982.75,95.48,11.84,-0.84%,2934525
94,"DX","Dynex Capital, Inc","Real Estate","REIT - Mortgage","USA",2059.91,9.48,14.03,1.08%,3768777
95,"PK","Park Hotels & Resorts Inc","Real Estate","REIT - Hotel & Motel","USA",2104.93,,10.53,0.48%,2812120
96,"SMA","Smartstop Self Storage REIT Inc","Real Estate","REIT - Industrial","USA",2118.88,,32.91,0.73%,677862
97,"IVT","InvenTrust Properties Corp","Real Estate","REIT - Retail","USA",2199.73,18.71,28.34,1.14%,643428
98,"FCPT","Four Corners Property Trust Inc","Real Estate","REIT - Retail","USA",2448.37,21.30,23.08,-1.20%,656706
99,"CURB","Curbline Properties Corp","Real Estate","REIT - Retail","USA",2460.35,59.41,23.35,-1.27%,490743
100,"IHS","IHS Holding Ltd","Real Estate","Real Estate Services","United Kingdom",2504.14,5.38,7.51,2.46%,988768
101,"UE","Urban Edge Properties","Real Estate","REIT - Retail","USA",2554.31,21.97,19.26,0.73%,739845
102,"AKR","Acadia Realty Trust","Real Estate","REIT - Retail","USA",2619.19,156.69,19.68,-0.30%,1075672
