"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"HTOO","Fusion Fuel Green Ltd","Utilities","Utilities - Renewable","Ireland",7.50,,4.14,-0.24%,110223
2,"CREG","Smart Powerr Corp","Utilities","Utilities - Renewable","China",23.72,,1.14,0.88%,31674
3,"SUUN","PowerBank Corporation","Utilities","Utilities - Renewable","Canada",58.26,,1.59,-4.79%,234159
4,"SAFX","XCF Global Inc","Utilities","Utilities - Renewable","USA",123.83,1.59,0.78,-9.33%,752767
5,"STEM","Stem Inc","Utilities","Utilities - Renewable","USA",153.54,,18.30,-1.98%,218789
6,"NXXT","NextNRG Inc","Utilities","Utilities - Renewable","USA",170.70,,1.27,3.25%,1299178
7,"DGXX","Digi Power X Inc","Utilities","Utilities - Independent Power Producers","USA",236.82,,3.61,-4.50%,5028298
8,"NKLR","Terra Innovatum Global N.V","Utilities","Utilities - Regulated Electric","Italy",414.77,59.54,5.90,-4.22%,977228
9,"OPAL","OPAL Fuels Inc","Utilities","Utilities - Regulated Gas","USA",456.03,125.24,2.63,1.54%,123072
10,"CDZI","Cadiz Inc","Utilities","Utilities - Regulated Water","USA",473.73,,5.70,-2.90%,473560
11,"NRGV","Energy Vault Holdings Inc","Utilities","Utilities - Renewable","USA",714.79,,4.26,3.15%,2505852
12,"EDN","Empresa Distribuidora y Comercial Norte S.A. ADR","Utilities","Utilities - Regulated Electric","Argentina",726.53,7.89,32.86,-3.92%,140833
13,"IMSR","Terrestrial Energy Inc","Utilities","Utilities - Regulated Electric","USA",761.29,47.72,9.31,-13.72%,1863885
14,"XIFR","XPLR Infrastructure LP","Utilities","Utilities - Renewable","USA",1676.66,,8.92,-1.00%,1069154
15,"HTO","H2O America","Utilities","Utilities - Regulated Water","USA",1715.42,15.23,47.91,0.82%,585302
16,"NWN","Northwest Natural Holding Co","Utilities","Utilities - Regulated Gas","USA",1919.29,18.40,46.24,0.06%,302812
17,"HE","Hawaiian Electric Industries, Inc","Utilities","Utilities - Regulated Electric","USA",1941.98,14.82,11.25,-0.27%,1652137
18,"CTRI","Centuri Holdings Inc","Utilities","Utilities - Regulated Gas","USA",2547.24,913.57,25.58,1.31%,1924882
19,"CEPU","Central Puerto ADR","Utilities","Utilities - Regulated Electric","Argentina",2588.94,11.12,17.10,-0.52%,471380
20,"CWT","California Water Service Group","Utilities","Utilities - Regulated Water","USA",2674.46,19.62,44.88,1.33%,379421
21,"RNW","ReNew Energy Global plc","Utilities","Utilities - Renewable","India",2749.69,27.01,7.55,0.53%,400632
22,"AWR","American States Water Co","Utilities","Utilities - Regulated Water","USA",2832.73,21.68,73.17,1.01%,269797
